iter	Passed	Remaining
936	8956	602
937	8959	592
938	8962	582
939	8966	572
940	8968	562
941	8978	552
942	8992	543
943	9012	534
944	9021	525
945	9027	515
946	9036	505
947	9046	496
948	9070	487
949	9098	478
950	9128	470
951	9135	460
952	9154	451
953	9168	442
954	9173	432
955	9196	423
956	9199	413
957	9205	403
958	9209	393
959	9236	384
960	9265	376
961	9281	366
962	9286	356
963	9304	347
964	9311	337
965	9326	328
966	9332	318
967	9335	308
968	9354	299
969	9364	289
970	9369	279
971	9373	270
972	9405	260
973	9408	251
974	9411	241
975	9434	232
976	9438	222
977	9440	212
978	9443	202
979	9447	192
980	9459	183
981	9473	173
982	9501	164
983	9505	154
984	9507	144
985	9510	135
986	9513	125
987	9528	115
988	9531	106
989	9541	96
990	9544	86
991	9570	77
992	9572	67
993	9574	57
994	9577	48
995	9582	38
996	9598	28
997	9600	19
998	9602	9
999	9605	0
